scalerank	natscale	labelrank	featurecla	name	namepar	namealt	diffascii	nameascii	adm0cap	capalt	capin	worldcity	megacity	sov0name	sov_a3	adm0name	adm0_a3	adm1name	iso_a2	note	latitude	longitude	changed	namediff	diffnote	pop_max	pop_min	pop_other	rank_max	rank_min	geonameid	meganame	ls_name	ls_match	checkme
6	30	8	Admin-0 region capital	Longyearbyen			0	Longyearbyen	0	0		0	0	Kingdom of Norway	NOR	Svalbard and Jan Mayen Islands	SJM	Svalbard	SJ		78,21668439	15,5499963	1	1	Added place. Population from GeoNames.	1232	1232	0	3	3	2729907			2	0
4	50	8	Admin-1 capital	Qaanaaq	Thule		0	Qaanaaq	0	0		0	0	Denmark	DNK	Greenland	GRL	Qaasuitsup Kommunia	GL		77,48347333	-69,33223861	1	1	Location adjusted.	616	258	0	2	2	3831208		Qaanaq	1	0
3	110	2	Populated place	Resolute			0	Resolute	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		74,68333417	-94,90000615	0	0		250	229	0	2	2	-1		Resolute	0	0
3	110	2	Populated place	Dickson			0	Dickson	0	0		0	0	Russia	RUS	Russia	RUS	Taymyr	RU		73,50697186	80,54509884	4	0	Location adjusted. Population from GeoNames.	1113	1113	0	3	3	1507390		Dickson	0	0
3	110	2	Populated place	Arctic Bay			0	Arctic Bay	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		73,03330568	-85,16662093	0	0		604	604	0	2	2	-1		Arctic Bay	1	0
4	50	8	Populated place	Upernavik			0	Upernavik	0	0		0	0	Denmark	DNK	Greenland	GRL	Qaasuitsup Kommunia	GL		72,70936669	-56,14167532	4	0	Location adjusted. Population from GeoNames.	1129	1129	0	3	3	3418910		Upernavik	0	0
4	50	2	Populated place	Khatanga			0	Khatanga	0	0		0	0	Russia	RUS	Russia	RUS	Taymyr	RU		72,04114402	102,4650012	1	0	Population from GeoNames. Changed scale rank.	3205	3205	0	4	4	2022572		Khatanga	0	0
3	110	2	Populated place	Tiksi			0	Tiksi	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		71,62688552	128,8349668	4	0	Location adjusted. Population from GeoNames.	5700	5700	0	5	5	2015306		Tiksi	0	0
3	110	2	Populated place	Nizhneyansk			0	Nizhneyansk	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		71,43332583	136,0666194	0	0		400	391	0	2	2	-1		Nizhneyansk	0	0
3	110	1	Populated place	Barrow			0	Barrow	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		71,29056968	-156,78858	0	0		4336	2488	1275	4	4	5880054		Barrow	1	0
4	50	7	Populated place	Hammerfest			0	Hammerfest	0	0		0	0	Kingdom of Norway	NOR	Norway	NOR	Finnmark	NO		70,66127993	23,68800085	4	0	Location adjusted.	10000	9934	0	5	5	779683		Hammerfest	1	0
4	50	2	Populated place	Chokurdakh			0	Chokurdakh	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		70,61831097	147,8945796	1	1	Added place. Population from GeoNames.	2506	2506	0	4	4	2126123			2	0
3	110	1	Populated place	Prudhoe Bay			0	Prudhoe Bay	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		70,29218101	-148,6693598	0	0		2500	2174	0	4	4	-1		Prudhoe Bay	0	0
4	50	2	Historic place	Ambarchik			0	Ambarchik	0	0		0	0	Russia	RUS	Russia	RUS	Sakha (Yakutia)	RU		69,65100568	162,3335949	4	0	Location adjusted.	0	0	0	0	0	-1		Ambarchik	0	2
3	110	7	Admin-1 capital	Tromso			1	Tromso	0	0		0	0	Kingdom of Norway	NOR	Norway	NOR	Troms	NO		69,63507623	18,99202525	4	0	Location adjusted.	52436	45365	0	8	7	3133895		Tromso	1	0
4	50	2	Populated place	Taloyoak			0	Taloyoak	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		69,5333126	-93,53331954	0	0		774	774	0	2	2	-1		Taloyoak	1	0
4	50	2	Populated place	Norilsk			0	Norilsk	0	0		0	0	Russia	RUS	Russia	RUS	Taymyr	RU		69,34001691	88,22499182	4	0	Location adjusted.	165873	140800	0	9	9	1497337		Norilsk	1	0
4	50	2	Populated place	Igloolik			0	Igloolik	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		69,25653506	-81,79359213	4	0	Location adjusted.	1612	1612	0	3	3	-1		Igloolik	0	0
4	50	2	Populated place	Cambridge Bay			0	Cambridge Bay	0	0		0	0	Canada	CAN	Canada	CAN	Nunavut	CA		69,11695559	-105,0333153	4	1	Location adjusted.	1477	1477	0	3	3	-1		Campbridge Bay	0	0
3	110	2	Admin-1 capital	Murmansk			0	Murmansk	0	0		0	0	Russia	RUS	Russia	RUS	Murmansk	RU		68,96998781	33,10003617	0	0		319263	224253	211348	10	10	524305		Murmansk	1	0
3	110	1	Populated place	Point Hope			0	Point Hope	0	0		0	0	United States	USA	United States of America	USA	Alaska	US		68,34772605	-166,8080201	0	0		461	461	0	2	2	-1		Point Hope	1	0
