# IATA	 FR Name / Nom FR	 EN name / Nom EN	 Province	 AUTO/MAN	Latitude	Longitude	 Elevation (m)	 # ICAO	# WMO	# Climate / Climat	DST Time Zone / Fuseau horaire été	 STD Time Zone / Fuseau horaire heure normale
L1C	PA - Toronto (Hyundai)	TORONTO (Hyundai)	ON	Auto	43.7	-79.45	183.0	CL1C	0	6156177	EDT	EST
L1D	PA - TORONTO (NORTH YORK)	TORONTO (NORTH YORK)	ON	Auto	43.716667	-79.466667	184.0	CL1D	0	6156168	EDT	EST
L1E	PA - DOWNSVIEW PARK	DOWNSVIEW PARK	ON	Auto	43.75	-79.483333	199.0	CL1E	0	6156161	EDT	EST
L1F	PA - CONCORD (RYDER)	CONCORD (RYDER)	ON	Auto	43.816667	-79.516667	212.0	CL1F	0	6156160	EDT	EST
L2A	PA -SCARBOROUGH (TORONTO HUNT)	SCARBOROUGH (TORONTO HUNT)	ON	Auto	43.683333	-79.266667	134.0	CL2A	0	6156172	EDT	EST
L2F	PA - MARKHAM (NORTH TOYOTA)	MARKHAM (NORTH TOYOTA)	ON	Auto	43.816667	-79.35	190.0	CL2F	0	6156165	EDT	EST
L3A	PA - AJAX (WATER SUPPLY)	AJAX (WATER SUPPLY)	ON	Auto	43.816667	-79.0	89.0	CL3A	0	6156155	EDT	EST
L3B	PA - AJAX (VILLAGE CHRYSLER)	AJAX (VILLAGE CHRYSLER)	ON	Auto	43.833333	-79.033333	112.0	CL3B	0	6156153	EDT	EST
L3C	PA - AJAX PAN AM BALL PARK	AJAX PAN AM BALL PARK	ON	Auto	43.866667	-79.033333	109.0	CL3C	0	6156150	EDT	EST
L3D	PA - AJAX (WINTERMERE SOD)	AJAX (WINTERMERE SOD)	ON	Auto	43.9	-79.033333	126.0	CL3D	0	6156154	EDT	EST
L3E	PA - AJAX (PAO TAU)	AJAX (PAO TAU)	ON	Auto	43.9	-79.05	171.0	CL3E	0	6156152	EDT	EST
L3F	PA -CLAREMONT (SILO FARM)	CLAREMONT (SILO FARM)	ON	Auto	44.0	-79.1	260.0	CL3F	0	6156158	EDT	EST
L3G	PA -UXBRIDGE (TARIS)	UXBRIDGE (TARIS)	ON	Auto	44.05	-79.116667	362.0	CL3G	0	6156182	EDT	EST
L3I	PA -UDORA (STRONG)	UDORA (STRONG)	ON	Auto	44.25	-79.2	261.0	CL3I	0	6116200	EDT	EST
L5A	PA - STONEY CREEK CARDINAL	STONEY CREEK CARDINAL	ON	Auto	43.216667	-79.75	94.0	CL5A	0	6156174	EDT	EST
L5B	PA - WINONA (VINE ESTATES)	WINONA (VINE ESTATES)	ON	Auto	43.216667	-79.683333	99.0	CL5B	0	6136308	EDT	EST
L6A	PA - WAINFLEET (SKYDIVE)	WAINFLEET (SKYDIVE)	ON	Auto	42.883333	-79.35	182.0	CL6A	0	6136303	EDT	EST
